Date,Country,TotalCase,DailyNewCase,TotalDeath,DailyNewDeath
2020-02-15,US,15,0,0,0
2020-02-16,US,15,0,0,0
2020-02-17,US,15,0,0,0
2020-02-18,US,15,0,0,0
2020-02-19,US,15,0,0,0
2020-02-20,US,15,0,0,0
2020-02-21,US,35,20,0,0
2020-02-22,US,35,0,0,0
2020-02-23,US,35,0,0,0
2020-02-24,US,53,18,0,0
2020-02-25,US,57,4,0,0
2020-02-26,US,60,3,0,0
2020-02-27,US,60,0,0,0
2020-02-28,US,63,3,0,0
2020-02-29,US,68,5,1,1
2020-03-01,US,75,7,1,0
2020-03-02,US,100,25,6,5
2020-03-03,US,124,24,9,3
2020-03-04,US,158,34,11,2
2020-03-05,US,221,63,12,1
2020-03-06,US,319,98,15,3
2020-03-07,US,435,116,19,4
2020-03-08,US,541,106,22,3
2020-03-09,US,704,163,26,4
2020-03-10,US,994,290,30,4
2020-03-11,US,1301,307,38,8
2020-03-12,US,1630,329,41,3
2020-03-13,US,2183,553,48,7
2020-03-14,US,2770,587,57,9
2020-03-15,US,3613,843,69,12
2020-03-16,US,4596,983,87,18
2020-03-17,US,6346,1750,110,23
2020-03-18,US,9296,2950,150,40
2020-03-19,US,13865,4569,206,56
2020-03-20,US,19497,5632,255,49
2020-03-21,US,24345,4848,301,46
2020-03-22,US,33745,9400,414,113
2020-03-23,US,44056,10311,556,142
2020-03-24,US,55222,11166,781,225
2020-03-25,US,68673,13451,1028,247
2020-03-26,US,86061,17388,1296,268
2020-03-27,US,104804,18743,1697,401
2020-03-28,US,124256,19452,2222,525
2020-03-29,US,144321,20065,2592,370
2020-03-30,US,165053,20732,3150,558
2020-03-31,US,189967,24914,4064,914
2020-04-01,US,216622,26655,5114,1050
2020-04-02,US,246729,30107,6088,974
2020-04-03,US,279183,32454,7139,1051
2020-04-04,US,313379,34196,8469,1330
2020-04-05,US,338779,25400,9636,1167
2020-04-06,US,370019,31240,10895,1259
2020-04-07,US,403521,33502,12868,1973
2020-04-08,US,435518,31997,14811,1943
2020-04-09,US,469124,33606,16712,1901
2020-04-10,US,502876,33752,18747,2035
2020-04-11,US,532879,30003,20577,1830
2020-04-12,US,560300,27421,22105,1528
2020-04-13,US,586941,26641,23640,1535
2020-04-14,US,617661,30720,29825,6185
2020-04-15,US,648003,30342,32443,2618
2020-04-16,US,677570,29567,34619,2176
2020-04-17,US,709735,32165,37147,2528
2020-04-18,US,738792,29057,39014,1867
2020-02-15,Italy,3,0,0,0
2020-02-16,Italy,3,0,0,0
2020-02-17,Italy,3,0,0,0
2020-02-18,Italy,3,0,0,0
2020-02-19,Italy,3,0,0,0
2020-02-20,Italy,4,1,0,0
2020-02-21,Italy,21,17,1,1
2020-02-22,Italy,79,58,2,1
2020-02-23,Italy,157,78,3,1
2020-02-24,Italy,229,72,7,4
2020-02-25,Italy,323,94,11,4
2020-02-26,Italy,470,147,12,1
2020-02-27,Italy,655,185,17,5
2020-02-28,Italy,889,234,21,4
2020-02-29,Italy,1128,239,29,8
2020-03-01,Italy,1701,573,41,12
2020-03-02,Italy,2036,335,52,11
2020-03-03,Italy,2502,466,79,27
2020-03-04,Italy,3089,587,107,28
2020-03-05,Italy,3858,769,148,41
2020-03-06,Italy,4636,778,197,49
2020-03-07,Italy,5883,1247,233,36
2020-03-08,Italy,7375,1492,366,133
2020-03-09,Italy,9172,1797,463,97
2020-03-10,Italy,10149,977,631,168
2020-03-11,Italy,12462,2313,827,196
2020-03-12,Italy,15113,2651,1016,189
2020-03-13,Italy,17660,2547,1266,250
2020-03-14,Italy,21157,3497,1441,175
2020-03-15,Italy,24747,3590,1809,368
2020-03-16,Italy,27980,3233,2158,349
2020-03-17,Italy,31506,3526,2503,345
2020-03-18,Italy,35713,4207,2978,475
2020-03-19,Italy,41035,5322,3405,427
2020-03-20,Italy,47021,5986,4032,627
2020-03-21,Italy,53578,6557,4825,793
2020-03-22,Italy,59138,5560,5476,651
2020-03-23,Italy,63927,4789,6077,601
2020-03-24,Italy,69176,5249,6820,743
2020-03-25,Italy,74386,5210,7503,683
2020-03-26,Italy,80589,6203,8215,712
2020-03-27,Italy,86498,5909,9134,919
2020-03-28,Italy,92472,5974,10023,889
2020-03-29,Italy,97689,5217,10779,756
2020-03-30,Italy,101739,4050,11591,812
2020-03-31,Italy,105792,4053,12428,837
2020-04-01,Italy,110574,4782,13155,727
2020-04-02,Italy,115242,4668,13915,760
2020-04-03,Italy,119827,4585,14681,766
2020-04-04,Italy,124632,4805,15362,681
2020-04-05,Italy,128948,4316,15887,525
2020-04-06,Italy,132547,3599,16523,636
2020-04-07,Italy,135586,3039,17127,604
2020-04-08,Italy,139422,3836,17669,542
2020-04-09,Italy,143626,4204,18279,610
2020-04-10,Italy,147577,3951,18849,570
2020-04-11,Italy,152271,4694,19468,619
2020-04-12,Italy,156363,4092,19899,431
2020-04-13,Italy,159516,3153,20465,566
2020-04-14,Italy,162488,2972,21067,602
2020-04-15,Italy,165155,2667,21645,578
2020-04-16,Italy,168941,3786,22170,525
2020-04-17,Italy,172434,3493,22745,575
2020-04-18,Italy,175925,3491,23227,482
2020-02-15,Spain,2,0,0,0
2020-02-16,Spain,2,0,0,0
2020-02-17,Spain,2,0,0,0
2020-02-18,Spain,2,0,0,0
2020-02-19,Spain,2,0,0,0
2020-02-20,Spain,2,0,0,0
2020-02-21,Spain,2,0,0,0
2020-02-22,Spain,2,0,0,0
2020-02-23,Spain,2,0,0,0
2020-02-24,Spain,3,1,0,0
2020-02-25,Spain,9,6,0,0
2020-02-26,Spain,13,4,0,0
2020-02-27,Spain,25,12,0,0
2020-02-28,Spain,33,8,0,0
2020-02-29,Spain,58,25,0,0
2020-03-01,Spain,84,26,0,0
2020-03-02,Spain,120,36,0,0
2020-03-03,Spain,165,45,1,1
2020-03-04,Spain,228,63,2,1
2020-03-05,Spain,282,54,3,1
2020-03-06,Spain,401,119,8,5
2020-03-07,Spain,525,124,10,2
2020-03-08,Spain,674,149,17,7
2020-03-09,Spain,1231,557,30,13
2020-03-10,Spain,1695,464,36,6
2020-03-11,Spain,2277,582,55,19
2020-03-12,Spain,3146,869,86,31
2020-03-13,Spain,5232,2086,133,47
2020-03-14,Spain,6391,1159,196,63
2020-03-15,Spain,7988,1597,294,98
2020-03-16,Spain,9942,1954,342,48
